,Entity:,Phone:,Email:,Individual:
1,Apex (US) & Apex (CA),,afstorespricing@ppg.com    CanadaStorespricing@ppg.com,
2,Bell Alliance,888-214-7896,,
3,Bell Canada,877-877-2426,888-788-2355  or 866-462-3551,
4,Cash Desk (US),,PPGACCashDesk@ppg.com,
5,Cash Desk (CA),,CanadaBankingSupport@ppg.com,
6,CEI Driver Services,866.894.0383,driverservices.PPG@ceinetwork.com,
7,Color Lab,412-517-3738,accolorlab@ppg.com,
8,Corob Service,800-728-8408,ext. 225  -- Previously Listed as 255,Tech: Mike
9,Credit (US),800-852-7860,afcredit@ppg.com,
10,Credit (CA),,*Credit CA PAF Stores,
11,Credit (Quebec CA),800-321-6564,Quebec Region Only ,
12,Credit (PMC),855-762-2847,,
13,Customer Service (US),877-774-3131,StoreOrders@ppg.com   AskStoreCS@ppg.com,
14,Customer Service (CA),800-387-2253,,
15,Customer Service (Dealer Order),888-774-1010,,
16,Customer Service Dealer Formula Pro Help Desk,844-916-0606,,
17,Central Purchasing - SSO (special sundries),844-594-3233,SSO@ppg.com,
18,Dealer RITSD Toll Free,833-562-8030,RITSD-USCA@ppg.com,
19,DSR,877-563-6709,*HARD DOWN CASES after 10 min on hold 918-336-6900,ppgpaintsupport@dsrglobal.com
20,DataColor,800-982-6496,,
21,Dromont (Porter Services),980-237-8274,customer.care@dromont.com,
22,Dromont(Mark),704-388-7914,mark.strickland@dromontgroup.com,
23,EFB Support,866-774-5297,*AC PPG EFB Support,DO NOT GIVE TO STORES
24,Fluid Management HD,800-462-2466,Old number: 847-520-6008  ,DO NOT GIVE TO STORES
25,Global IT Service Desk,412-434-2662,itsd-global@ppg.com,
26,HR US,888-774-2121,hrsupportppgac@ppg.com,
27,HR Canada,877-839-1881,,
28,HR Puerto Rico,,idalis.landrau@ppg.com,Idalis Iandrau
29,Hero,800-494-4376,,
30,Inventory Team,,PPGStoreInventory@ppg.com,
31,AC Kronos Support,,ACKronosSupport@ppg.com,
32,Moneris Solutions,866-319-7450,,
33,Operator ,412-434-3131,,
34,Payroll,,*PAF Payroll Team,
35,People Pulse,833-774-7772,,
36,Promotions US Paint,724-591-6342,carrozzi@ppg.com,Shannon Carrozzi
37,Promotions US Spray and Equipment ,724-814-9805,rhodes@ppg.com,Don Rhodes
38,Promotions US Spray and Equipment,508-717-5255,vigue@ppg.com,Amy Vigue
39,Promotions US All Other Sundries,412-527-2219,mchugh@ppg.com,Doreen McHugh
40,Promotions CA Paint - Sundry,,rob.mcdonald@ppg.com - gurmukh.banait@ppg.com,Rob McDonald  - Gurmukh Banait
41,Promotions PR Paint/Sundry,,velezramos@ppg.com,Arlivonne Velez-Ramos
42,ProSight Support,833-482-0509,prosighthelp@ppg.com,
43,QuestZones,866-462-3551,,
44,International Star Rewards (CA\PR),718-609-8500,,
45,Star Rewards,888-598-4455 ,,
46,Store Maintenance,,PPGACStoreMaintenance@ppg.com,
47,Tax Dept. Fax,800-640-4726,,
48,Tech Support (Canada/French),800-387-2253,,
49,Tech Support (Product Questions),800-441-9695,​asktechservice@ppg.com,
50,True Finish,888-638-9795,Tforders@ppg.com,
51,One Recognition and Rewards ,888-598-4455 (US)  718-609-8500 (International toll) ,totalvisionrecognition@mcfina.com,
52,Site Support Windows 10 Replacment Project,724-720-4408,,
